,Institute ID,Name,TLR (100),RPC (100),GO (100),OI (100),PERCEPTION (100),City,State,Score,Rank
0,IR-E-U-0456,Indian Institute of Technology Madras,95.19,96.41,79.89,63.26,100.00,Chennai,Tamil Nadu,89.79,1
1,IR-E-I-1074,Indian Institute of Technology Delhi,84.89,94.74,85.00,67.92,94.07,New Delhi,Delhi,87.09,2
2,IR-E-U-0306,Indian Institute of Technology Bombay,79.12,87.94,81.93,56.89,85.36,Mumbai,Maharashtra,80.74,3
3,IR-E-I-1075,Indian Institute of Technology Kanpur,84.35,80.16,88.99,58.82,76.15,Kanpur,Uttar Pradesh,80.65,4
4,IR-E-U-0560,Indian Institute of Technology Roorkee,74.55,78.36,88.91,60.42,59.37,Roorkee,Uttarakhand,75.64,5
5,IR-E-U-0573,Indian Institute of Technology Kharagpur,67.27,78.30,84.68,56.04,75.51,Kharagpur,West Bengal,73.76,6
6,IR-E-U-0053,Indian Institute of Technology Guwahati,67.70,74.99,85.01,54.95,50.09,Guwahati,Assam,70.32,7
7,IR-E-U-0013,Indian Institute of Technology Hyderabad,83.86,61.12,75.92,55.95,60.04,Hyderabad,Telangana,70.28,8
8,IR-E-U-0467,National Institute of Technology Tiruchirappalli,73.73,61.45,78.82,65.86,67.98,Tiruchirappalli,Tamil Nadu,69.71,9
9,IR-E-U-0575,Jadavpur University,76.89,65.90,76.68,52.81,35.84,Kolkata,West Bengal,67.04,10
10,IR-E-U-0490,Vellore Institute of Technology,62.35,75.41,70.39,61.63,50.21,Vellore,Tamil Nadu,66.59,11
11,IR-E-U-0237,"National Institute of Technology Karnataka, Surathkal",72.80,56.09,77.23,62.95,48.38,Surathkal,Karnataka,65.26,12
12,IR-E-U-0439,Anna University,63.92,74.48,59.95,50.02,65.50,Chennai,Tamil Nadu,65.06,13
13,IR-E-U-0273,Indian Institute of Technology Indore,75.90,60.88,72.39,59.53,24.73,Indore,Madhya Pradesh,63.93,14
14,IR-E-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,61.12,60.02,82.22,56.16,53.31,Varanasi,Uttar Pradesh,63.74,15
15,IR-E-U-0357,National Institute of Technology Rourkela,73.96,61.71,71.54,59.05,18.85,Rourkela,Odisha,62.79,16
16,IR-E-U-0205,Indian Institute of Technology (Indian School of Mines),66.37,63.59,72.92,57.25,30.85,Dhanbad,Jharkhand,62.37,17
17,IR-E-U-0139,Indian Institute of Technology Gandhinagar,82.80,42.85,68.86,66.14,35.84,Gandhinagar,Gujarat,61.66,18
18,IR-E-U-0436,Amrita Vishwa Vidyapeetham,76.43,54.55,61.85,65.05,33.77,Coimbatore,Tamil Nadu,61.54,19
19,IR-E-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),70.96,61.47,70.60,63.07,10.79,Patiala,Punjab,61.24,20
20,IR-E-U-0025,National Institute of Technology Warangal,72.58,50.86,74.41,57.19,34.99,Warangal,Telangana,61.13,21
21,IR-E-U-0378,Indian Institute of Technology Ropar,77.27,44.53,71.06,64.93,32.70,Rupnagar,Punjab,60.51,22
22,IR-E-U-0263,National Institute of Technology Calicut,74.03,40.82,78.62,67.96,33.06,Kozhikode,Kerala,60.28,23
23,IR-E-U-0308,Institute of Chemical Technology,72.94,56.31,69.00,53.66,17.57,Mumbai,Maharashtra,59.70,24
24,IR-E-U-0391,Birla Institute of Technology  & Science -Pilani,64.17,52.87,78.39,54.37,32.88,Pilani,Rajasthan,59.52,25
25,IR-E-U-0108,"Jamia Millia Islamia,New Delhi",61.90,59.59,73.20,63.85,18.34,New Delhi,Delhi,59.30,26
26,IR-E-U-0363,Siksha `O` Anusandhan,76.52,44.14,65.46,72.19,24.07,Bhubaneswar,Odisha,58.92,27
27,IR-E-U-0473,S.R.M. Institute of Science and Technology,63.79,60.19,64.99,61.60,22.01,Chennai,Tamil Nadu,58.56,28
